Tweet_text,Viral
RT @nerdist: Trump constantly looks like he's trying to push out a fart. #GOPDebate,1
RT @funnyordie: This feels like FOX News tried to be the cool parents that let their kids have a party &amp; now the house is on fire. #GOPDeba…,1
"RT @BettyBowers: Asking about God violates  Article VI, paragraph 3 of the Constitution: ""There will be no religious test for office."" #GOP…",1
RT @PhillyD: Bringing up the Constitution or Ronald Reagan at the #GOPDebate is like when a musician screams the name of the city he is pla…,1
RT @tedcruz: RT if you agree it's #ATimeForTruth! #GOPDebate #CruzCrew http://t.co/fK2POhfP7Y,1
"RT @marcorubio: This election better be about the future, not the past. #GOPDebate",1
RT @megynkelly: .@brithume: Best closing statement was @RealBenCarson #GOPDebate,1
"RT @marcorubio: If I'm our nominee, we'll be the party of the future. #GOPDebate",1
RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate…,1
"RT @pattonoswalt: Goddamit, Donald. Your soul is on fumes and your heart orbits a dying sun. but you're making this thing interesting. Fuck…",1
RT @KatiePavlich: Fiorina didn't make a single mistake and made strong arguments with details to back them up. Excellent job. #GOPDebate,1
"RT @tedcruz: We've seen a lot of campaign conservatives, but if we're going to win in 2016, we need a consistent conservative. #GOPDebate #…",1
RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN,1
RT @puddinstrip: heres a photo of a puppy eating a shoe to take your mind off Mike Huckabee talking about a womans vagina #GOPDebate http:/…,1
"RT @DanScavino: .@realDonaldTrump wins 1st #GOPDebate!
#MakeAmericaGreatAgain #Trump2016 #TeamTrump #TrumpForPresident 🇺🇸 http://t.co/2P8dW…",1
"RT @pattonoswalt: Can SOMEONE Photoshop an album cover for Chris Christie's smooth jazz masterpiece, THE HUGS THAT I REMEMBER? #GOPDebate",1
"RT @realDonaldTrump: ""@FrankLuntz: I'm getting a lot of @MegynKelly hatemail tonight. 😆 #GOPDebate"" She is totally overrated and angry. She…",1
"RT @kumailn: And now the realization dawns on us. ""Holy shit. I've been watching Fox News."" #GOPDebate",1
RT @Ben_Elder1155: Donald Trump to Rand Paul tonight. #GOPDebate http://t.co/jV4yfOv7xZ,1
"RT @mydaughtersarmy: The debate has been hard on Ted Cruz. #GOPDebate http://t.co/9hmr7Num6N",1
RT @billyeichner: Thank you all for watching the #GOPDebate tonight. @julieklausner and I had a blast writing it.,1
RT @Thomasismyuncle: By the end of these debates all 17 R candidates will have answered more questions in a day than Hillary has answered i…,1
"RT @LAXnOREOS: Meanwhile, in the White House...  #GOPDebate http://t.co/mFs7ixFOVC",1
RT @TomBradysEgo: He got my vote #GOPDebate http://t.co/XMFPoYhcN1,1
"RT @jilltwiss: ""My dad was a mailman"" - Kasich
""My dad was the President"" -Bush
""My dad gave me all my money"" - Trump #GOPDebate",1
"RT @pattonoswalt: ""...and...and...God."" Holy shit. @megynkelly just summed up the entire Republican Party. #GOPDebate",1
RT @LoganJames: Shoutout to Fox for running a Straight Outta Compton trailer right after asking about police brutality against African-Amer…,1
"RT @AnthonyCumia: Poor Ronald Reagan is stuck in this debate like a bad group text.
#GOPDebate",1
RT @Squintz1983: #GOPDebate pretty much http://t.co/fHg7FmG42d,1
"RT @michellemalkin: My fellow conservatives, 1 thing we can all agree on: Best thing about #gopdebate tonite will be: No Candy Crowley! htt…",1
RT @marksluckie: Just one #BlackLivesMatter question at #GOPDebate? But we spent a half hour talking about fences?? http://t.co/v7pqn2Qr84,1
RT @GovMikeHuckabee: The military is not a social experiment. The purpose of the military is to kill people and break things. #ImWithHuck #…,1
RT @megynkelly: .@realDonaldTrump:  We don’t have time for tone.  We have to go out and get the job done.  #GOPDebate,1
"RT @zellieimani: Ben Carson: No one seems to see me or cares what I have to say . 

But racism doesnt exist. #KKKorGOP #GOPDebate http://t.…",1
RT @megynkelly: .@realDonaldTrump: I think the big problem this country has is being politically correct #GOPDebate,1
"RT @fakedansavage: American Women: Scott Walker thinks your fetus should live, you should die. Rubio thinks you should bear your rapist's b…",1
RT @HeadcACE1906: GOP in a nut shell  #GOPDebate http://t.co/Q7Q7GXw3Lc,1
"RT @AmyMek: After this debate, my opinion changed the MOST about @foxnews, @megynkelly, @BretBaier &amp; Chris Wallace! Utterly Disappointed…#G…",1
RT @richardhine: Joe Biden watching the #GOPDebate http://t.co/6y2aXgITms,1
"RT @pattonoswalt: Tough words, Donald Trump. No way Obama's gonna get re-elected now! #GOPDebate",1
RT @ShooterMcGavin_: Donald Trump is the Shooter McGavin of Politicians #GOPDebate,1
"RT @DWStweets: What we didn't hear tonight — ideas that support the middle class, women, students, or LGBT Americans. #OMGOP #GOPDebate",1
"RT @apunkfemme: how are yall ""pro life"" but you're pro war, pro guns, pro ""i pretend to care about a fetus but not actual living children"" …",1
RT @BreeNewsome: I predict tonight's winner will be late night comedians and Twitter. #GOPDebate,1
"RT @BettyBowers: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate",1
"RT @nerdist: I gotta say it's refreshing to hear a presidential debate where everyone is correctly pronouncing ""nuclear"" #GOPDebate",1
"RT @Andy: WHY AM I NOT MODERATING THE #GOPDEBATE !!???? I WAS BORN FOR THIS, PEOPLE!!",1
RT @amaraconda: FETUSES ARE NOT UNBORN BABIES THEY ARE CLUSTERS OF CELLS STOP SHAMING PEOPLE WHO WANT/HAVE HAD ABORTIONS #GOPDebate,1
RT @megynkelly: .@RealBenCarson:  There is no such thing as a politically correct war #GOPDebate,1
RT @fakedansavage: American Women: Given a choice between you and the fetus... Scott Walker picks the fetus. Prolife... just not pro-your-l…,1
"RT @funnyordie: You're right, Trump. If it wasn't for you, we wouldn't be talking about the dumb shit you said. #GOPDebate",1
RT @rachelmartinart: I wonder if the #GOPDebate will address actual solutions for climate change and clean energy. #DebateWithBernie,1
RT @levarburton: Wait... What???? That was it???? #BlackLivesMatter #GOPDebate,1
"RT @JoshMalina: ""And now for our 27 second Lightning Round on racial issues."" #GOPDebate",1
RT @NotBillWalton: That was the greatest SNL sketch of all-time. #GOPDebate,1
"RT @kumailn: When Dr. Doom takes his mask off, it could be any of these people underneath. #GOPDebate",1
"RT @mskristinawong: Poor #BenCarson. Ignored, tokenized, getting cut off. Being treated in this debate like...Well, like a black man in thi…",1
RT @JohnFugelsang: If you're just tuning into #gopdebate there's no money for struggling Americans and unlimited money for war.,1
RT @tedcruz: Over the past six years we've seen the results of the Obama-Clinton foreign policy. Leading from behind is a disaster. #GOPDeb…,1
"RT @maureenjohnson: ""Let's imagine Obama ate a baby. It's not a question. Let's just imagine it."" #GOPDebate",1
RT @tedcruz: A little #GOPDebate prep with my two best advisers. #CruzCrew http://t.co/nICXayCSI4 http://t.co/fA4EQQhFW1,1
RT @tedcruz: We need a new Commander-in-Chief who will stand up to our enemies and that has credibility #GOPDebate #CruzCrew,1
"RT @pattonoswalt: ""My God is named 'Bruce Springsteen'. Go listen to 'Jungleland' and get a fucking clue,"" -- Christie. #GOPDebate",1
"RT @wilw: Boy, I bet the mood in the clown car is going to be TENSE when these jerks leave the #GOPDebate.",1
"RT @maureenjohnson: ""Women or guns? Which are the most people?"" #GOPDebate",1
RT @almightygod: I like to whisper different things in each candidate's ear. Keeps 'em guessing. #GOPDebate,1
RT @peddoc63: She belongs in Top 10✔️@CarlyFiorina takes Hillary head on! #GOPDebate @steph93065 @MaydnUSA http://t.co/oON7JFurII,1
RT @FoxNews: .@RandPaul at the #GOPDebate: http://t.co/7L6XapqamU,1
"RT @deray: In the end, Bingo! #GOPDebate http://t.co/xul0Y2qXp6",1
RT @maureenjohnson: At what point do they declare the Hunger Games open and these dudes run for the cornucopia? #GOPDebate,1
"RT @pattonoswalt: ""I won a radio contest to be here!' -- John Kasich #GOPDebate",1
"RT @peddoc63: If Your embassy was attacked, which Woman would You trust?
RT for @CarlyFiorina 
Fav for @HillaryClinton  #GOPDebate http://t…",1
RT @tedcruz: #CruzCrew: RT if you're tuning in! http://t.co/Xx2BP5QKcY #GOPDebate http://t.co/rGjjSZQdrZ,1
RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u,1
RT @TheBaxterBean: Fact-Checkers Proved Scott Walker Literally Lies More Often Than He Tells The Truth http://t.co/KeOeBNRWGU #GOPDebate ht…,1
"RT @FoxNews: ""Leading from behind is a disaster. We have abandoned and alienated our allies,"" says @tedcruz. #GOPDebate http://t.co/sgt6BCu…",1
RT @zellieimani: #BlackLivesMatter got 15 and back to talking about Iran. ISIS hasn't killed 685+ Americans.  The police have. #GOPDebate,1
RT @barkbox: The #GOPDebate got me like... http://t.co/Q8xVMzU0Fd,1
"RT @pattonoswalt: Wait, does Rand Paul want to marry a gun? Not saying that's a deal-breaker for me, but still... #GOPDebate",1
"RT @abbijacobson: Shiiiittt, it's tough to say who is making me more horny. #GOPDebate",1
RT @amaraconda: I SWEAR TO GOD IF ANOTHER CIS WHITE MAN SPEAKS ON ABORTION LIKE THEY KNOW WHAT ITS LIKE BEING PREGNANT......... #GOPDebate,1
RT @CarlyFiorina: Can you chip in $3 to keep the momentum going? #GOPdebate #Carly2016 https://t.co/W3mtcmR7Ze,1
"RT @JackeeHarry: I'm turning off the #GOPDebate, so I'll just leave this here.. http://t.co/MOA3vxg5w6",1
"RT @bencasselman: Rubio is exactly right: More new immigrants now come from Asia, not Latin America. #GOPDebate http://t.co/IOHEpeVlvB",1
RT @deray: Hillary Clinton is getting a lot of free PR from candidates today at the #GOPDebate.,1
RT @goldietaylor: .@HillaryClinton watching #GOPDebate #BNRDebates http://t.co/nQzMSx9hDn,1
"RT @BobbyJindal: Immigration without assimilation is not immigration, it is invasion. #GOPDebate",1
"RT @Writeintrump: I not only made Hillary Clinton go to my wedding, but I also made her be my Best Man.  #GOPDebate",1
"RT @JillBidenVeep: If they had their way, women will have to hold monthly funerals for their periods, like when you flush a goldfish. #GOPD…",1
"RT @deray: Trump is absolutely out of control. Someone, please send the clip of him sharing, ""What am I saying?"" to the moderator. #GOPDeba…",1
"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.

And they vote. 

That should scare eve…",1
RT @DamienFahey: “I french-kissed Jesus Christ!” - Every candidate #GOPDebate,1
"RT @realDonaldTrump: ""@stinger_inc: @realDonaldTrump  @megynkelly's behaviour at the #GOPDebate was astonishingly biased.""",1
RT @deray: The moderators essentially did not address any issues of criminal justice during the #GOPDebate.,1
RT @kumailn: Guys! We've cured racism! I didn't realize until just now! Congrats all! #GOPDebate,1
"RT @PrestonMitchum: Dear Scott Walker:

How are you ""pro-life"" if you would let a woman die rather than receive an abortion? 

#GOPDebate #…",1
RT @kumailn: Welcome to the Roast of Hillary Clinton! #GOPDebate,1
RT @totalgolfmove: All I want to know about the #GOPDebate is who is in favor for making The Masters a national holiday,1
"RT @greysonchance: Watching the #GOPDebate with my parents. Different generational views, but we can still laugh at Trump together. http://…",1
"RT @tommychong: Are any of these dudes for the legalization of marijuana, or what? #GOPDebate",1
"RT @mydaughtersarmy: Another group of men taking pride in telling women they should have no choice in what happens to their bodies.

#GOPDe…",1
"RT @kelkulus: SURPRISE TWIST: Kevin Spacey appears on stage, taps his ring on the podium, then pushes all 10 candidates in front of a train…",1
RT @TheDemocrats: #GOPDebate is looking a lot like this: http://t.co/LNlGuay4OP,1
RT @pattonoswalt: Are they going to ask Lenny Kravitz's penis ONE question? This is very disrespectful. #GOPDebate,1
RT @RachLWhitehurst: I can't tell if these are just bad cramps or my uterus trying to flee the country as I watch the #GOPDebate,1
"RT @pattonoswalt: ""They call me EAT-O Corleone."" -- Chris Christie. #GOPDebate",1
RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3,1
RT @ChakerKhazaal: #Election2016 #News: @HillaryClinton is not watching tonight's #GOPDebate. http://t.co/NuU1CzMALJ,1
"RT @darth: so apparently the candidates are arriving at the debate site

#GOPDebate http://t.co/GeXsjxrct3",1
RT @feministabulous: Praying for @megynkelly to interrupt one of them with this #GOPDebate http://t.co/f9qwVLhb3z,1
RT @ConcernedVets: Thank you @marcorubio for highlighting the critical issues facing veterans at tonight's #GOPDebate http://t.co/iD1ykmir33,1
RT @goldietaylor: And now a word from God... #GOPDebate http://t.co/VkGvYttwtK,1
RT @megynkelly: .@tedcruz gets powerful response from @FrankLuntz focus group. #KellyFile #GOPDebate,1
RT @ironghazi: Finally someone talking about the real issues #GOPdebate http://t.co/ttcdKtnMUt,1
RT @sallykohn: Everyone at #GOPDebate: I’m against the Iran Deal because Obama made it. Obama isn’t strong because he’s Obama. Because.,1
RT @pistolsnpoetry: I am howling. #GOPDebate http://t.co/BNv5ohXZLK,1
RT @tedcruz: I believe the American people are looking for someone to speak the truth https://t.co/GN0PVY4wLR #GOPDebate #CruzCrew,1
RT @Bipartisanism: Republicans watching the #GOPDebate be like: http://t.co/gJY4Kx4Tyj,1
"RT @OhNoSheTwitnt: ""Has God ever talked to you?"" -an actual real #GOPDebate question. Seriously.",1
"RT @kumailn: ""We have the military for a reason. To fuck shit up!!!"" #GOPDebate",1
RT @OITNB_Beyond: Democrats watching the #GOPDebate tonight!!! This is a comedy hour!!! http://t.co/kKrpmE1XCE,1
RT @rachelhills: .@HillaryClinton to the Republicans: #GOPDebate http://t.co/z71BjpCpaq,1
RT @RealBenCarson: My Pre #GOPDebate 'ritual'. #BC2DC16  https://t.co/agbMc4nBM5,1
"RT @pattonoswalt: ""Yeah, I was pro-abortion. But that was the scene at Limelight in the 80s. It was a different time."" -- Donald Trump #GOP…",1
"RT @rodimusprime: Now a question for Ben Carson... racism is that a thing?

Ben: No.

Fox News: You may go now.

#GOPDebate",1
RT @tedcruz: Headed into the #GOPDebate. Join us at 9pm ET on Fox News and http://t.co/nICXayCSI4 http://t.co/Q83QU3u422,1
RT @thekevinryder: #GOPDebate (Vine by @dabulldawg88) https://t.co/XKxVDrADce,1
"RT @pattonoswalt: Well holy shit, Kasich. Good on you. #GOPDebate",1
"RT @LaurenGreenberg: So... it's okay to kill people if you're in the military, but it's not okay to get an abortion if you're a rape victim…",1
RT @JesseCox: This just in: women have less rights then babies. #GOPDebate,1
"RT @XLNB: Black people, if you need anymore indication why Republicans hate us. Peep this. #GOPDebate http://t.co/Bh0ChsY5Eh",1
RT @lexi4prez: Drinking game: take a shot every time a republican shames immigration or planned parenthood #GOPDebate,1
RT @rachael_firefly: #blacklivesmatter received only 30 seconds at the #GOPDebate . That speaks volumes.,1
RT @Lonely_Dad: my wife left me #gopdebate,1
RT @zellieimani: Men deciding what women can or cannot do with their bodies. World history in a nutshell. #GOPDebate,1
RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,1
RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,1
RT @nerdist: Trump's really great in Orange is the New Orange #GOPDebate,1
"RT @amaraconda: republicans always do that ""what if"" shit when it comes to abortion what if the people killed by police wouldve cured cance…",1
"RT @TheMattFowler: “Mr. Trump, this next question is for you. Please explain this pathetic taking of the Stone Cold Stunner” #GOPDebate htt…",1
"RT @deray: Scott Walker is frightening. Like, when he speaks it's as if he's detached from reality and is just speaking. #GOPDebate",1
RT @JohnFugelsang: Lindsey Graham has never met a war he's afraid to send your kids to.  #gopdebate,1
RT @tedcruz: We need a President who’ll defend the Constitution and restore America’s leadership in the world #GOPDebate #CruzCrew http://t…,1
RT @SouthernHomo: Me as a moderator at the #GOPDebate http://t.co/URnKZ69fNx,1
RT @feministabulous: 20 minutes in the #GOPDebate and candidates have spoken more about the rights of fetuses than the rights of women in t…,1
RT @Things4WhitePpl: Watching the #GOPDebate just to see what Trump will say,1
"RT @shhhhhionn: Trump calls everybody ""clowns"" and ""puppets"" because he believes, correctly, that he is at a children's birthday party. #GO…",1
RT @justin_fenton: I'm expecting this guy to walk out any moment #GOPDebate http://t.co/LgL8l8LMgt,1
RT @samswey: Police violence has been a major issue this past year in America. They intentionally ignored black lives this #GOPDebate and w…,1
"RT @MarkDiStef: As an Australian watching the #GOPDebate, this is simply most awesome and batshit insane political event I've ever seen.",1
"RT @zellieimani: #BlackLivesMatter being discussed at #GOPDebate
15 seconds later...
Commercial and back to borders and abortion.",1
"RT @NerdyWonka: Jeb: ""I defunded Planned Parenthood""

He is proud that he denied thousands of women access to life saving healthcare. 

#GO…",1
"RT @Evelina: Tried to get into the #GOPDebate tonight, but then I realized that the Americas sideways look like a duck. http://t.co/tunvVNc…",1
RT @MattyIceAZ: The best part of the Debate tonight? Watching all the governors take credit for the economic progress under Obama's policie…,1
RT @pattonoswalt: It's simple: Trump doesn't not want to not say he won't pledge not running against the winner if he does or doesn't not w…,1
"RT @Bipartisanism: How to stay sober during #GOPDebate drinking games:

Take a shot every time someone tells the truth. http://t.co/v1gKlMd…",1
RT @GregAbbott_TX: Dear @FoxNews: I could create millions of jobs &amp; a 4% growth rate by eliminating ObamaCare gutting EPA &amp; repealing Dodd-…,1
RT @FrankTheDoorman: The winner of the #GOPDebate is anyone who didn't watch.,1
RT @CrissGhoul: YOU ARE NOT PRO LIFE. YOU ARE PRO CONTROL. YOU ARE PRO RELIGION. YOU ARE PRO YOU.  THIS IS NEVER ABOUT THE MOTHER. #GOPDeba…,1
RT @MichelleDBeadle: It's like satire had relations with sketch comedy.  #GOPDebate,1
RT @CarlyFiorina: I know how extraordinary this nation is. #GOPDebate,1
RT @JimSterling: The #GOPDebate still rages on... http://t.co/X791Idd7Lx,1
RT @DocInRealLife: RT if you'd rather vote for Doc. #GOPDebate http://t.co/ElcoxLPHaV,1
RT @pattonoswalt: Cruz wants us to forfeit citizenship if we go and join ISIS? That seriously fucks up the spring break comedy script I jus…,1
"RT @DLoesch: Carson’s goal tonight: Introduce himself to America, make people remember him. I think he accomplished that. #GOPDebate",1
RT @jamalraad: Trump immigration strategy https://t.co/QZMfehR8VF #GOPDebate,1
"RT @NeinQuarterly: Who's winning the #GOPDebate? According to preliminary reports, anybody who's not watching.",1
"RT @RepubGrlProbs: Carson: Hillary feeds off of the uniformed, depending on the votes of useful idiots... ouch. #GOPDebate",1
RT @DaneCook: This just in... God leading in the polls after the #GOPDebate,1
RT @ThePatriot143: You Don't have to support Trump to realize that every question was delivered in a Backhanded manner #GOPDebate http://t.…,1
RT @TeamMarco: Marco nailed it on abortion. We must protect life. #GOPDebate http://t.co/Nn6S7dO22J,1
RT @JohnFugelsang: If you missed either #GOPDebate all you need to know is there's no $ for struggling Americans and unlimited $ for war.,1
"RT @pattonoswalt: Immigration. Save Trump for the end. No one can follow GG Allin shitting onto the stage, guys. #GOPDebate",1
"RT @ProfessorCrunk: Wonder how Trayvon Martin feels about that ""culture of life"" Jeb. #GOPDebate",1
"RT @LouisPeitzman: From now on, I'm answering all questions with a story about the hardships my parents faced. #GOPDebate",1
RT @robdelaney: .@FoxNews Fun shot of the candidates warming up for the #GOPDebate! http://t.co/5e7936xKoU,1
RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw,1
RT @pattonoswalt: Hey @MedievalTimes! Donald Trump just gave you a shout out! #GOPDebate,1
"RT @levarburton: Amen! RT @atticalocke: I'd like a ""culture of life"" too, like not getting shot by police.  #BlackLivesMatter #GOPDebate",1
RT @MariaLiaCalvo: .@charles_gaba wins the Internet tonight. #GOPDebate http://t.co/Dp1IsIXJmN,1
"RT @JessicaValenti: If these dudes are so anti-abortion, I'd like to hear their plan for expanding birth control and Plan B. WAITING. #GOPD…",1
RT @JohnKasich: Giving a free hat away - random from the first 250 RTs! Go! #Kasich4Us #GOPDebate http://t.co/y4TWJWEwIt,1
"RT @zellieimani: During debates on terrorism, don't expect anyone to bring up white supremacist organizations engaging in terrorism. #KKKor…",1
RT @Writeintrump: Anyone know why Megan Kelly was so pissed at me during the #GOPDebate? I'm pretty sure I was never married to her.,1
RT @Writeintrump: Megan Kelly is angrier tonight than Rosie O'Donnell on a diet.  #GOPDebate,1
RT @JohnKasich: Giving a free #Kasich4Us hat away - random from the first 250 RTs! GO! #GOPDebate http://t.co/MgwMsSLRDP,1
"RT @benshapiro: $1,000 says CNN will not question Democratic candidates this way. #GOPDebate",1
RT @mattymonsterz: I AM SCREAMING 💀💀💀💀 #GOPDebate http://t.co/yrsGber2nG,1
"RT @aurabogado: Half an hour into it, Donald Trump has made it clear he hates: women, immigrants, reporters, and leaders. #GOPDebate",1
RT @DamienFahey: “Ya know what? I’m staying.” - Jon Stewart after watching 3 seconds of this debate #GOPDebate,1
"RT @edstetzer: Btw... when you mix politics and religion, you get politics. #GOPDebate",1
"RT @RedStateJake: Sorry, but @JebBush was as inspiring as a manila envelope. 

#GOPDebate #tcot #tlot #ccot #ycot #GOP http://t.co/5xeZ4vlJ…",1
RT @TamaraCG: My new favorite gif is perfect. #GOPDebate http://t.co/uKdZ8O85Av,1
"RT @deray: Scott Walker is dangerous. He is deep in his own world and is most comfortable there, it seems. Dangerous. #GOPDebate",1
"RT @BreeNewsome: Donald Trump is the Nene Leaks of the Republican Party. READ, HONEY, READ. 😂 #GOPDebate",1
"RT @maureenjohnson: ""Where do you think women should sleep when they have The Curse? The shed? Or in an open field, not on your property?' …",1
RT @DaneCook: The #GOPDebate is like watching The Bachelorette without the rose ceremony.,1
RT @JohnFugelsang: You could listen to all the candidate ideas in #gopdebate or you could just look at Kansas.,1
RT @ThePatriot143: Hey @Foxnews can you let us Rep digest the #GOPDebate before you allow Debbie Wasserman Schultz to TRASH ALL OUR GOP htt…,1
"RT @MURlCAFUCKYEAH: RT if you agree!

“The big problem this country has is being politically correct” #GOPDebate http://t.co/liuGl1haa3",1
"RT @pattonoswalt: Oh, Ted Cruz. You have the same pudding chin and beta-male energy that I do. Go into comedy. I can get you on at The Virg…",1
RT @a_fruen: .@HillaryClinton as she watches this train wreck #GOPDebate http://t.co/LEMIJfkdXx,1
"RT @BenMank77: Well done, Fox...great questions on climate change, the Koch brothers, campaign finance reform &amp; oh, yeah...none of those th…",1
"RT @DanScavino: .@MegynKelly,
You failed the American people tonight. 
You tried to make history, by destroying @realDonaldTrump. #KellyFai…",1
